R_keyt2000 lambda
2703.30 652
2728.28 647
2733.06 642
2749.00 636
2764.29 631
2779.57 626
2795.04 621
2810.32 616
2825.20 611
2839.51 606
2855.42 601
2869.78 596
2884.53 591
2898.55 586
2912.38 581
2925.52 576
2940.06 571
2955.36 566
2970.81 561
2986.64 556
3001.99 551
3017.96 546
3032.88 541
3048.72 536
3064.44 531
3081.67 526
3095.96 521
3110.83 516
3125.65 511
3141.06 506
3156.16 501
3173.74 496
3188.06 491
3203.99 486
3220.59 481
3235.36 476
3249.63 471
3265.10 466
3281.01 461
3296.46 456
3312.27 451
3328.28 446
3344.74 441
3359.91 436
3375.33 431
3390.11 426
3404.53 421
3436.30 411
3451.55 406
3464.40 401
3475.71 396
3482.94 391

